Rep,genotype,Day,area
1,WT,3,3.2
1,WT,6,7.6
1,WT,10,14.16
1,WT,12,18.72
1,WT,13,19.12
1,WT,17,30.76
1,WT,18,32.76
1,WT,20,45.3
2,WT,3,2.12
2,WT,6,5.2
2,WT,10,10.6
2,WT,12,13.16
2,WT,13,17.72
2,WT,17,24.56
2,WT,18,28.32
2,WT,20,33.4
3,WT,3,3.16
3,WT,6,4.28
3,WT,10,4.4
3,WT,12,4.36
3,WT,13,4.16
3,WT,17,1.84
3,WT,18,1.84
3,WT,20,
4,WT,3,2.56
4,WT,6,5.52
4,WT,10,11.32
4,WT,12,14.16
4,WT,13,15.08
4,WT,17,20.76
4,WT,18,24.96
4,WT,20,36.5
5,WT,3,2.8
5,WT,6,5.24
5,WT,10,11.2
5,WT,12,14.52
5,WT,13,12.36
5,WT,17,13.08
5,WT,18,23.04
5,WT,20,25.3
1,PLGG,3,2.48
1,PLGG,6,4.76
1,PLGG,10,10.16
1,PLGG,12,12.56
1,PLGG,13,14.28
1,PLGG,17,17.04
1,PLGG,18,20.76
1,PLGG,20,18.7
2,PLGG,3,1.72
2,PLGG,6,3.68
2,PLGG,10,1.44
2,PLGG,12,10
2,PLGG,13,8.92
2,PLGG,17,13.92
2,PLGG,18,15.48
2,PLGG,20,23.4
3,PLGG,3,1.44
3,PLGG,6,3.28
3,PLGG,10,6.88
3,PLGG,12,8.92
3,PLGG,13,8.72
3,PLGG,17,13.68
3,PLGG,18,15.08
3,PLGG,20,19.3
4,PLGG,3,2.64
4,PLGG,6,6.28
4,PLGG,10,11.4
4,PLGG,12,14.36
4,PLGG,13,13.8
4,PLGG,17,21.92
4,PLGG,18,23.43
4,PLGG,20,23.7
5,PLGG,3,1.72
5,PLGG,6,3.12
5,PLGG,10,7.84
5,PLGG,12,6.36
5,PLGG,13,7.72
5,PLGG,17,12
5,PLGG,18,13.44
5,PLGG,20,8.5
1,Glyk,3,
1,Glyk,6,
1,Glyk,10,
1,Glyk,12,
1,Glyk,13,
1,Glyk,17,
1,Glyk,18,
1,Glyk,20,
2,Glyk,3,1.68
2,Glyk,6,4.64
2,Glyk,10,8.4
2,Glyk,12,11.12
2,Glyk,13,12.88
2,Glyk,17,16.04
2,Glyk,18,22.28
2,Glyk,20,31.2
3,Glyk,3,
3,Glyk,6,
3,Glyk,10,
3,Glyk,12,
3,Glyk,13,
3,Glyk,17,
3,Glyk,18,
3,Glyk,20,
4,Glyk,3,2.24
4,Glyk,6,5.08
4,Glyk,10,9.32
4,Glyk,12,11.36
4,Glyk,13,6.52
4,Glyk,17,11.88
4,Glyk,18,16.04
4,Glyk,20,12.3
5,Glyk,3,1.4
5,Glyk,6,3.04
5,Glyk,10,6.68
5,Glyk,12,9.56
5,Glyk,13,11.24
5,Glyk,17,11.36
5,Glyk,18,15.68
5,Glyk,20,20.5
